Lan,Datum,Uppskattning,Low_CI,High_CI
Skåne,2020-05-11,0.46,0.36,0.57
Dalarna,2020-05-11,0.82,0.36,1.73
Kronoberg,2020-05-11,0.47,0.15,1.16
Stockholm,2020-05-11,0.81,0.67,0.98
Norrbotten,2020-05-11,0.76,0.31,1.7
Västmanland,2020-05-11,0.61,0.23,1.43
Kalmar,2020-05-11,0.58,0.2,1.4
Västra Götaland,2020-05-11,0.61,0.46,0.8
Jönköping,2020-05-11,0.58,0.28,1.1
Örebro,2020-05-11,0.79,0.35,1.65
Östergötland,2020-05-11,0.69,0.36,1.23
Uppsala,2020-05-11,0.73,0.41,1.24
Gävleborg,2020-05-11,0.85,0.39,1.69
Södermanland,2020-05-11,0.77,0.31,1.7
Halland,2020-05-11,0.56,0.26,1.12
Jämtland,2020-05-11,0.76,0.2,2.14
Västerbotten,2020-05-11,0.7,0.29,1.49
Västernorrland,2020-05-11,0.55,0.2,1.38
Blekinge,2020-05-11,0.51,0.15,1.39
Värmland,2020-05-11,0.55,0.21,1.25
Gotland,2020-05-11,0.5,0.04,3.68
Skåne,2020-05-12,0.48,0.39,0.59
Dalarna,2020-05-12,0.83,0.39,1.63
Kronoberg,2020-05-12,0.46,0.15,1.13
Västra Götaland,2020-05-12,0.67,0.52,0.85
Stockholm,2020-05-12,0.86,0.72,1.02
Norrbotten,2020-05-12,0.81,0.36,1.68
Västmanland,2020-05-12,0.6,0.24,1.33
Kalmar,2020-05-12,0.62,0.25,1.38
Jönköping,2020-05-12,0.59,0.3,1.08
Örebro,2020-05-12,0.81,0.38,1.61
Östergötland,2020-05-12,0.7,0.37,1.22
Uppsala,2020-05-12,0.73,0.42,1.2
Gävleborg,2020-05-12,0.74,0.34,1.49
Södermanland,2020-05-12,0.82,0.38,1.65
Halland,2020-05-12,0.58,0.28,1.12
Jämtland,2020-05-12,0.87,0.3,2.16
Västerbotten,2020-05-12,0.68,0.29,1.41
Västernorrland,2020-05-12,0.58,0.23,1.34
Blekinge,2020-05-12,0.5,0.16,1.28
Gotland,2020-05-12,0.7,0.06,3.71
Värmland,2020-05-12,0.6,0.26,1.25
Skåne,2020-05-13,0.5,0.41,0.61
Dalarna,2020-05-13,0.84,0.42,1.61
Kronoberg,2020-05-13,0.54,0.21,1.2
Västerbotten,2020-05-13,0.74,0.34,1.44
Västra Götaland,2020-05-13,0.68,0.53,0.85
Stockholm,2020-05-13,0.87,0.73,1.03
Norrbotten,2020-05-13,0.8,0.35,1.64
Västmanland,2020-05-13,0.64,0.28,1.35
Kalmar,2020-05-13,0.75,0.33,1.53
Jönköping,2020-05-13,0.64,0.35,1.11
Örebro,2020-05-13,0.77,0.36,1.52
Halland,2020-05-13,0.53,0.26,1.02
Östergötland,2020-05-13,0.71,0.39,1.22
Uppsala,2020-05-13,0.77,0.46,1.25
Gävleborg,2020-05-13,0.76,0.36,1.48
Västernorrland,2020-05-13,0.58,0.24,1.31
Södermanland,2020-05-13,0.9,0.44,1.73
Jämtland,2020-05-13,0.98,0.37,2.26
Blekinge,2020-05-13,0.54,0.19,1.31
Gotland,2020-05-13,0.68,0.06,3.43
Värmland,2020-05-13,0.64,0.29,1.27
Skåne,2020-05-14,0.5,0.41,0.61
Dalarna,2020-05-14,0.87,0.44,1.61
Västra Götaland,2020-05-14,0.69,0.54,0.86
Kronoberg,2020-05-14,0.51,0.2,1.14
Västerbotten,2020-05-14,0.8,0.39,1.49
Stockholm,2020-05-14,0.87,0.74,1.03
Norrbotten,2020-05-14,0.78,0.34,1.6
Västmanland,2020-05-14,0.71,0.33,1.41
Kalmar,2020-05-14,0.68,0.3,1.43
Jönköping,2020-05-14,0.61,0.33,1.06
Örebro,2020-05-14,0.8,0.39,1.53
Halland,2020-05-14,0.51,0.25,0.98
Östergötland,2020-05-14,0.71,0.4,1.21
Uppsala,2020-05-14,0.71,0.42,1.16
Gävleborg,2020-05-14,0.8,0.4,1.53
Västernorrland,2020-05-14,0.57,0.23,1.26
Södermanland,2020-05-14,0.9,0.45,1.71
Jämtland,2020-05-14,1.03,0.41,2.31
Blekinge,2020-05-14,0.55,0.19,1.31
Gotland,2020-05-14,0.75,0.1,3.25
Värmland,2020-05-14,0.72,0.35,1.36
Skåne,2020-05-15,0.51,0.41,0.61
Dalarna,2020-05-15,0.91,0.47,1.65
Västra Götaland,2020-05-15,0.67,0.53,0.84
Kronoberg,2020-05-15,0.49,0.19,1.1
Västerbotten,2020-05-15,0.78,0.39,1.46
Stockholm,2020-05-15,0.86,0.73,1.01
Norrbotten,2020-05-15,0.77,0.35,1.57
Västmanland,2020-05-15,0.66,0.3,1.34
Kalmar,2020-05-15,0.67,0.3,1.4
Jönköping,2020-05-15,0.61,0.33,1.05
Örebro,2020-05-15,0.83,0.42,1.56
Halland,2020-05-15,0.57,0.29,1.05
Östergötland,2020-05-15,0.68,0.38,1.16
Uppsala,2020-05-15,0.75,0.45,1.19
Gävleborg,2020-05-15,0.78,0.39,1.47
Västernorrland,2020-05-15,0.55,0.23,1.21
Södermanland,2020-05-15,0.81,0.38,1.59
Jämtland,2020-05-15,1,0.4,2.24
Värmland,2020-05-15,0.75,0.38,1.4
Blekinge,2020-05-15,0.52,0.19,1.26
Gotland,2020-05-15,0.72,0.1,3.03
Skåne,2020-05-16,0.5,0.4,0.6
Dalarna,2020-05-16,0.85,0.45,1.56
Västra Götaland,2020-05-16,0.69,0.55,0.86
Kronoberg,2020-05-16,0.51,0.2,1.12
Västerbotten,2020-05-16,0.7,0.33,1.35
Stockholm,2020-05-16,0.84,0.71,0.99
Norrbotten,2020-05-16,0.77,0.35,1.56
Västmanland,2020-05-16,0.68,0.32,1.37
Kalmar,2020-05-16,0.68,0.3,1.39
Jönköping,2020-05-16,0.62,0.35,1.06
Örebro,2020-05-16,0.85,0.43,1.57
Halland,2020-05-16,0.5,0.25,0.95
Östergötland,2020-05-16,0.66,0.36,1.13
Uppsala,2020-05-16,0.75,0.45,1.19
Gävleborg,2020-05-16,0.72,0.35,1.39
Västernorrland,2020-05-16,0.62,0.27,1.3
Södermanland,2020-05-16,0.76,0.36,1.52
Jämtland,2020-05-16,1.05,0.44,2.27
Värmland,2020-05-16,0.72,0.36,1.35
Blekinge,2020-05-16,0.54,0.2,1.26
Gotland,2020-05-16,0.73,0.11,3.05
Skåne,2020-05-17,0.5,0.41,0.61
Dalarna,2020-05-17,0.79,0.4,1.49
Västra Götaland,2020-05-17,0.69,0.55,0.86
Kronoberg,2020-05-17,0.54,0.22,1.15
Västerbotten,2020-05-17,0.75,0.36,1.42
Stockholm,2020-05-17,0.83,0.7,0.98
Norrbotten,2020-05-17,0.82,0.39,1.61
Västmanland,2020-05-17,0.75,0.36,1.44
Kalmar,2020-05-17,0.63,0.27,1.33
Jönköping,2020-05-17,0.65,0.36,1.1
Halland,2020-05-17,0.47,0.23,0.91
Östergötland,2020-05-17,0.7,0.39,1.18
Uppsala,2020-05-17,0.74,0.45,1.18
Gävleborg,2020-05-17,0.75,0.38,1.43
Västernorrland,2020-05-17,0.67,0.31,1.37
Örebro,2020-05-17,0.82,0.41,1.54
Södermanland,2020-05-17,0.79,0.38,1.56
Jämtland,2020-05-17,1.09,0.47,2.31
Värmland,2020-05-17,0.63,0.29,1.24
Blekinge,2020-05-17,0.49,0.17,1.21
Gotland,2020-05-17,0.5,0.05,2.66
Skåne,2020-05-18,0.49,0.4,0.6
Dalarna,2020-05-18,0.83,0.43,1.53
Västra Götaland,2020-05-18,0.69,0.55,0.86
Kronoberg,2020-05-18,0.5,0.2,1.11
Västerbotten,2020-05-18,0.66,0.3,1.3
Stockholm,2020-05-18,0.85,0.72,1
Norrbotten,2020-05-18,0.74,0.34,1.49
Västmanland,2020-05-18,0.76,0.38,1.46
Kalmar,2020-05-18,0.64,0.28,1.33
Jönköping,2020-05-18,0.65,0.36,1.1
Halland,2020-05-18,0.45,0.22,0.87
Östergötland,2020-05-18,0.76,0.43,1.26
Uppsala,2020-05-18,0.7,0.43,1.12
Gävleborg,2020-05-18,0.79,0.41,1.47
Västernorrland,2020-05-18,0.65,0.29,1.35
Örebro,2020-05-18,0.82,0.41,1.54
Södermanland,2020-05-18,0.74,0.34,1.5
Jämtland,2020-05-18,0.93,0.37,2.1
Värmland,2020-05-18,0.56,0.24,1.14
Blekinge,2020-05-18,0.41,0.13,1.09
Gotland,2020-05-18,0.49,0.04,2.66
Skåne,2020-05-19,0.47,0.38,0.58
Dalarna,2020-05-19,0.83,0.44,1.52
Västra Götaland,2020-05-19,0.65,0.52,0.81
Kronoberg,2020-05-19,0.49,0.2,1.09
Västerbotten,2020-05-19,0.64,0.3,1.27
Stockholm,2020-05-19,0.82,0.69,0.96
Norrbotten,2020-05-19,0.73,0.34,1.46
Västmanland,2020-05-19,0.75,0.38,1.41
Kalmar,2020-05-19,0.67,0.31,1.38
Gävleborg,2020-05-19,0.79,0.41,1.46
Östergötland,2020-05-19,0.72,0.41,1.19
Jönköping,2020-05-19,0.66,0.38,1.11
Halland,2020-05-19,0.5,0.26,0.93
Uppsala,2020-05-19,0.71,0.44,1.13
Västernorrland,2020-05-19,0.62,0.28,1.28
Örebro,2020-05-19,0.83,0.42,1.53
Södermanland,2020-05-19,0.68,0.32,1.4
Jämtland,2020-05-19,1,0.41,2.19
Värmland,2020-05-19,0.58,0.26,1.17
Blekinge,2020-05-19,0.49,0.18,1.18
Gotland,2020-05-19,0.63,0.07,2.81
Skåne,2020-05-20,0.44,0.36,0.54
Dalarna,2020-05-20,0.78,0.41,1.45
Västra Götaland,2020-05-20,0.63,0.5,0.79
Kronoberg,2020-05-20,0.53,0.22,1.15
Västerbotten,2020-05-20,0.61,0.28,1.23
Stockholm,2020-05-20,0.78,0.66,0.92
Norrbotten,2020-05-20,0.69,0.31,1.42
Västmanland,2020-05-20,0.71,0.36,1.35
Gävleborg,2020-05-20,0.82,0.43,1.5
Östergötland,2020-05-20,0.7,0.4,1.17
Jönköping,2020-05-20,0.61,0.34,1.06
Halland,2020-05-20,0.47,0.23,0.91
Uppsala,2020-05-20,0.7,0.43,1.11
Västernorrland,2020-05-20,0.56,0.24,1.2
Örebro,2020-05-20,0.74,0.36,1.42
Kalmar,2020-05-20,0.65,0.29,1.33
Södermanland,2020-05-20,0.71,0.34,1.43
Jämtland,2020-05-20,0.89,0.35,1.99
Gotland,2020-05-20,0.57,0.06,2.61
Värmland,2020-05-20,0.62,0.28,1.24
Blekinge,2020-05-20,0.47,0.16,1.15
Skåne,2020-05-21,0.44,0.35,0.54
Dalarna,2020-05-21,0.78,0.41,1.45
Västra Götaland,2020-05-21,0.62,0.49,0.78
Kronoberg,2020-05-21,0.52,0.21,1.14
Västerbotten,2020-05-21,0.67,0.32,1.31
Stockholm,2020-05-21,0.75,0.63,0.89
Norrbotten,2020-05-21,0.65,0.28,1.36
Västmanland,2020-05-21,0.67,0.34,1.28
Gävleborg,2020-05-21,0.72,0.36,1.36
Östergötland,2020-05-21,0.61,0.33,1.06
Jönköping,2020-05-21,0.56,0.31,0.99
Halland,2020-05-21,0.43,0.21,0.83
Uppsala,2020-05-21,0.66,0.4,1.06
Västernorrland,2020-05-21,0.61,0.28,1.26
Örebro,2020-05-21,0.74,0.35,1.43
Kalmar,2020-05-21,0.59,0.25,1.25
Södermanland,2020-05-21,0.67,0.31,1.39
Jämtland,2020-05-21,0.76,0.28,1.82
Gotland,2020-05-21,0.56,0.06,2.54
Värmland,2020-05-21,0.53,0.23,1.12
Blekinge,2020-05-21,0.44,0.14,1.11
Skåne,2020-05-22,0.43,0.35,0.53
Dalarna,2020-05-22,0.75,0.38,1.42
Västra Götaland,2020-05-22,0.62,0.49,0.78
Kronoberg,2020-05-22,0.51,0.2,1.13
Gävleborg,2020-05-22,0.67,0.33,1.3
Västerbotten,2020-05-22,0.69,0.32,1.36
Stockholm,2020-05-22,0.72,0.61,0.86
Norrbotten,2020-05-22,0.66,0.29,1.38
Västmanland,2020-05-22,0.64,0.31,1.23
Östergötland,2020-05-22,0.56,0.29,1
Jönköping,2020-05-22,0.64,0.36,1.08
Halland,2020-05-22,0.43,0.21,0.84
Uppsala,2020-05-22,0.63,0.37,1.03
Västernorrland,2020-05-22,0.57,0.26,1.2
Örebro,2020-05-22,0.72,0.33,1.43
Kalmar,2020-05-22,0.52,0.21,1.16
Södermanland,2020-05-22,0.68,0.32,1.4
Jämtland,2020-05-22,0.72,0.26,1.76
Gotland,2020-05-22,0.66,0.09,2.75
Värmland,2020-05-22,0.53,0.22,1.11
Blekinge,2020-05-22,0.46,0.15,1.14
Skåne,2020-05-23,0.43,0.35,0.53
Dalarna,2020-05-23,0.73,0.37,1.39
Västra Götaland,2020-05-23,0.63,0.5,0.79
Kronoberg,2020-05-23,0.53,0.21,1.15
Gävleborg,2020-05-23,0.7,0.34,1.34
Västerbotten,2020-05-23,0.67,0.31,1.34
Stockholm,2020-05-23,0.71,0.6,0.85
Norrbotten,2020-05-23,0.63,0.27,1.34
Västmanland,2020-05-23,0.65,0.32,1.24
Östergötland,2020-05-23,0.58,0.31,1.02
Jönköping,2020-05-23,0.64,0.36,1.09
Halland,2020-05-23,0.44,0.21,0.86
Västernorrland,2020-05-23,0.57,0.25,1.2
Örebro,2020-05-23,0.8,0.39,1.53
Kalmar,2020-05-23,0.59,0.25,1.25
Uppsala,2020-05-23,0.64,0.38,1.03
Södermanland,2020-05-23,0.67,0.31,1.4
Jämtland,2020-05-23,0.72,0.26,1.74
Gotland,2020-05-23,0.58,0.07,2.59
Värmland,2020-05-23,0.52,0.22,1.08
Blekinge,2020-05-23,0.48,0.17,1.18
Skåne,2020-05-24,0.42,0.34,0.52
Dalarna,2020-05-24,0.79,0.41,1.48
Kronoberg,2020-05-24,0.49,0.19,1.1
Gävleborg,2020-05-24,0.8,0.41,1.48
Västerbotten,2020-05-24,0.65,0.29,1.3
Västra Götaland,2020-05-24,0.6,0.47,0.76
Stockholm,2020-05-24,0.72,0.6,0.86
Norrbotten,2020-05-24,0.67,0.29,1.42
Västmanland,2020-05-24,0.64,0.31,1.24
Östergötland,2020-05-24,0.59,0.31,1.04
Jönköping,2020-05-24,0.63,0.35,1.09
Halland,2020-05-24,0.46,0.22,0.88
Västernorrland,2020-05-24,0.52,0.22,1.13
Örebro,2020-05-24,0.76,0.36,1.48
Kalmar,2020-05-24,0.59,0.25,1.25
Uppsala,2020-05-24,0.68,0.41,1.08
Södermanland,2020-05-24,0.65,0.3,1.36
Jämtland,2020-05-24,0.74,0.27,1.79
Gotland,2020-05-24,0.54,0.07,2.36
Värmland,2020-05-24,0.49,0.21,1.05
Blekinge,2020-05-24,0.45,0.15,1.14
Skåne,2020-05-25,0.41,0.33,0.51
Dalarna,2020-05-25,0.7,0.35,1.35
Kronoberg,2020-05-25,0.5,0.19,1.12
Gävleborg,2020-05-25,0.75,0.37,1.43
Västerbotten,2020-05-25,0.58,0.25,1.2
Västra Götaland,2020-05-25,0.58,0.45,0.73
Stockholm,2020-05-25,0.68,0.57,0.82
Norrbotten,2020-05-25,0.65,0.28,1.4
Västmanland,2020-05-25,0.62,0.3,1.2
Kalmar,2020-05-25,0.55,0.23,1.21
Östergötland,2020-05-25,0.55,0.29,0.98
Jönköping,2020-05-25,0.65,0.36,1.12
Halland,2020-05-25,0.46,0.23,0.89
Västernorrland,2020-05-25,0.53,0.23,1.14
Örebro,2020-05-25,0.74,0.34,1.46
Uppsala,2020-05-25,0.64,0.38,1.05
Södermanland,2020-05-25,0.62,0.27,1.32
Jämtland,2020-05-25,0.69,0.23,1.73
Gotland,2020-05-25,0.61,0.1,2.42
Värmland,2020-05-25,0.54,0.23,1.12
Blekinge,2020-05-25,0.36,0.1,1.01
Skåne,2020-05-26,0.39,0.31,0.49
Dalarna,2020-05-26,0.71,0.36,1.37
Kronoberg,2020-05-26,0.44,0.16,1.04
Gävleborg,2020-05-26,0.74,0.36,1.41
Västerbotten,2020-05-26,0.56,0.24,1.18
Västra Götaland,2020-05-26,0.55,0.43,0.71
Stockholm,2020-05-26,0.67,0.56,0.8
Norrbotten,2020-05-26,0.61,0.25,1.35
Västmanland,2020-05-26,0.59,0.28,1.17
Kalmar,2020-05-26,0.47,0.18,1.1
Jönköping,2020-05-26,0.63,0.34,1.1
Halland,2020-05-26,0.41,0.2,0.81
Östergötland,2020-05-26,0.58,0.3,1.03
Västernorrland,2020-05-26,0.54,0.23,1.18
Örebro,2020-05-26,0.71,0.33,1.4
Uppsala,2020-05-26,0.63,0.37,1.03
Södermanland,2020-05-26,0.59,0.26,1.29
Jämtland,2020-05-26,0.61,0.19,1.6
Gotland,2020-05-26,0.62,0.1,2.43
Värmland,2020-05-26,0.5,0.21,1.07
Blekinge,2020-05-26,0.36,0.11,1.02
Skåne,2020-05-27,0.39,0.31,0.49
Dalarna,2020-05-27,0.64,0.31,1.28
Kronoberg,2020-05-27,0.42,0.15,1.01
Gävleborg,2020-05-27,0.66,0.31,1.32
Västerbotten,2020-05-27,0.53,0.21,1.14
Västra Götaland,2020-05-27,0.55,0.43,0.7
Stockholm,2020-05-27,0.68,0.56,0.81
Norrbotten,2020-05-27,0.63,0.26,1.4
Västmanland,2020-05-27,0.56,0.25,1.13
Kalmar,2020-05-27,0.46,0.17,1.12
Jönköping,2020-05-27,0.67,0.37,1.14
Halland,2020-05-27,0.4,0.19,0.8
Östergötland,2020-05-27,0.56,0.29,1.01
Västernorrland,2020-05-27,0.61,0.28,1.27
Örebro,2020-05-27,0.6,0.26,1.27
Uppsala,2020-05-27,0.64,0.38,1.05
Södermanland,2020-05-27,0.56,0.24,1.26
Jämtland,2020-05-27,0.52,0.15,1.47
Värmland,2020-05-27,0.48,0.21,1.04
Blekinge,2020-05-27,0.33,0.09,0.97
Gotland,2020-05-27,0.56,0.07,2.43
Skåne,2020-05-28,0.39,0.31,0.49
Dalarna,2020-05-28,0.62,0.3,1.26
Kronoberg,2020-05-28,0.42,0.14,1.03
Gävleborg,2020-05-28,0.71,0.34,1.4
Västerbotten,2020-05-28,0.57,0.25,1.2
Västra Götaland,2020-05-28,0.55,0.43,0.7
Stockholm,2020-05-28,0.67,0.55,0.8
Norrbotten,2020-05-28,0.62,0.25,1.4
Västmanland,2020-05-28,0.53,0.23,1.12
Kalmar,2020-05-28,0.48,0.17,1.16
Jönköping,2020-05-28,0.7,0.39,1.2
Halland,2020-05-28,0.38,0.18,0.77
Östergötland,2020-05-28,0.53,0.27,0.97
Västernorrland,2020-05-28,0.67,0.32,1.35
Örebro,2020-05-28,0.58,0.25,1.26
Uppsala,2020-05-28,0.6,0.35,1
Södermanland,2020-05-28,0.6,0.26,1.32
Jämtland,2020-05-28,0.58,0.18,1.55
Värmland,2020-05-28,0.45,0.18,1
Blekinge,2020-05-28,0.3,0.08,0.94
Gotland,2020-05-28,0.6,0.09,2.53
Skåne,2020-05-29,0.39,0.31,0.49
Dalarna,2020-05-29,0.63,0.3,1.28
Kronoberg,2020-05-29,0.47,0.17,1.09
Gävleborg,2020-05-29,0.7,0.33,1.39
Västerbotten,2020-05-29,0.59,0.26,1.21
Västra Götaland,2020-05-29,0.52,0.4,0.66
Stockholm,2020-05-29,0.68,0.56,0.81
Norrbotten,2020-05-29,0.56,0.22,1.28
Västmanland,2020-05-29,0.55,0.24,1.14
Jönköping,2020-05-29,0.64,0.34,1.13
Kalmar,2020-05-29,0.49,0.18,1.18
Halland,2020-05-29,0.39,0.18,0.78
Östergötland,2020-05-29,0.51,0.26,0.94
Västernorrland,2020-05-29,0.66,0.3,1.34
Örebro,2020-05-29,0.58,0.25,1.24
Uppsala,2020-05-29,0.6,0.35,1
Södermanland,2020-05-29,0.71,0.33,1.46
Jämtland,2020-05-29,0.56,0.17,1.52
Värmland,2020-05-29,0.44,0.17,0.99
Blekinge,2020-05-29,0.29,0.08,0.92
Gotland,2020-05-29,0.62,0.1,2.55
Skåne,2020-05-30,0.4,0.32,0.5
Dalarna,2020-05-30,0.65,0.32,1.3
Västra Götaland,2020-05-30,0.5,0.39,0.65
Kronoberg,2020-05-30,0.47,0.17,1.1
Gävleborg,2020-05-30,0.65,0.29,1.33
Västerbotten,2020-05-30,0.57,0.25,1.18
Stockholm,2020-05-30,0.66,0.55,0.79
Norrbotten,2020-05-30,0.58,0.23,1.33
Västmanland,2020-05-30,0.47,0.2,1.02
Jönköping,2020-05-30,0.6,0.32,1.07
Kalmar,2020-05-30,0.47,0.17,1.17
Halland,2020-05-30,0.44,0.22,0.85
Östergötland,2020-05-30,0.53,0.28,0.96
Västernorrland,2020-05-30,0.67,0.31,1.35
Örebro,2020-05-30,0.55,0.24,1.2
Uppsala,2020-05-30,0.57,0.33,0.96
Södermanland,2020-05-30,0.64,0.3,1.34
Jämtland,2020-05-30,0.55,0.16,1.5
Gotland,2020-05-30,0.6,0.1,2.5
Värmland,2020-05-30,0.48,0.2,1.05
Blekinge,2020-05-30,0.37,0.1,1.04
Skåne,2020-05-31,0.38,0.3,0.48
Dalarna,2020-05-31,0.56,0.26,1.19
Västra Götaland,2020-05-31,0.49,0.38,0.64
Kronoberg,2020-05-31,0.45,0.16,1.08
Västerbotten,2020-05-31,0.5,0.21,1.1
Stockholm,2020-05-31,0.63,0.52,0.76
Norrbotten,2020-05-31,0.53,0.2,1.27
Västmanland,2020-05-31,0.52,0.23,1.09
Jönköping,2020-05-31,0.59,0.31,1.05
Kalmar,2020-05-31,0.45,0.16,1.13
Gävleborg,2020-05-31,0.53,0.22,1.16
Halland,2020-05-31,0.39,0.18,0.79
Östergötland,2020-05-31,0.51,0.26,0.94
Västernorrland,2020-05-31,0.61,0.27,1.27
Örebro,2020-05-31,0.54,0.22,1.18
Uppsala,2020-05-31,0.58,0.34,0.98
Södermanland,2020-05-31,0.65,0.3,1.35
Jämtland,2020-05-31,0.51,0.14,1.46
Gotland,2020-05-31,0.58,0.09,2.51
Värmland,2020-05-31,0.51,0.22,1.09
Blekinge,2020-05-31,0.34,0.1,1
Skåne,2020-06-01,0.37,0.29,0.47
Dalarna,2020-06-01,0.53,0.24,1.14
Västra Götaland,2020-06-01,0.49,0.38,0.63
Kronoberg,2020-06-01,0.43,0.14,1.05
Västerbotten,2020-06-01,0.48,0.2,1.07
Stockholm,2020-06-01,0.64,0.53,0.77
Norrbotten,2020-06-01,0.45,0.16,1.14
Västmanland,2020-06-01,0.43,0.18,0.97
Jönköping,2020-06-01,0.54,0.28,1
Kalmar,2020-06-01,0.34,0.11,0.97
Halland,2020-06-01,0.39,0.19,0.79
Gävleborg,2020-06-01,0.55,0.23,1.21
Östergötland,2020-06-01,0.49,0.25,0.91
Västernorrland,2020-06-01,0.52,0.22,1.14
Örebro,2020-06-01,0.51,0.21,1.14
Uppsala,2020-06-01,0.55,0.32,0.93
Södermanland,2020-06-01,0.63,0.29,1.34
Jämtland,2020-06-01,0.5,0.13,1.43
Gotland,2020-06-01,0.47,0.05,2.28
Värmland,2020-06-01,0.5,0.21,1.06
Blekinge,2020-06-01,0.34,0.1,0.97
Skåne,2020-06-02,0.37,0.29,0.46
Dalarna,2020-06-02,0.52,0.24,1.13
Västra Götaland,2020-06-02,0.46,0.35,0.6
Kronoberg,2020-06-02,0.44,0.15,1.06
Stockholm,2020-06-02,0.65,0.53,0.78
Norrbotten,2020-06-02,0.37,0.11,1.04
Västmanland,2020-06-02,0.41,0.16,0.93
Jönköping,2020-06-02,0.57,0.3,1.04
Kalmar,2020-06-02,0.35,0.12,0.98
Halland,2020-06-02,0.39,0.19,0.79
Gävleborg,2020-06-02,0.51,0.21,1.12
Östergötland,2020-06-02,0.44,0.21,0.84
Uppsala,2020-06-02,0.51,0.29,0.88
Västernorrland,2020-06-02,0.5,0.21,1.09
Örebro,2020-06-02,0.46,0.18,1.05
Södermanland,2020-06-02,0.64,0.29,1.37
Jämtland,2020-06-02,0.48,0.12,1.4
Västerbotten,2020-06-02,0.48,0.19,1.08
Gotland,2020-06-02,0.64,0.1,2.56
Värmland,2020-06-02,0.39,0.14,0.94
Blekinge,2020-06-02,0.29,0.08,0.91
Skåne,2020-06-03,0.36,0.28,0.45
Dalarna,2020-06-03,0.5,0.22,1.1
Västra Götaland,2020-06-03,0.45,0.34,0.59
Kronoberg,2020-06-03,0.47,0.16,1.11
Stockholm,2020-06-03,0.63,0.52,0.76
Norrbotten,2020-06-03,0.33,0.1,0.99
Västmanland,2020-06-03,0.41,0.17,0.94
Jönköping,2020-06-03,0.58,0.3,1.06
Kalmar,2020-06-03,0.38,0.13,1.02
Halland,2020-06-03,0.4,0.19,0.8
Gävleborg,2020-06-03,0.47,0.19,1.06
Östergötland,2020-06-03,0.46,0.23,0.87
Uppsala,2020-06-03,0.54,0.3,0.92
Västernorrland,2020-06-03,0.51,0.21,1.1
Örebro,2020-06-03,0.52,0.22,1.12
Södermanland,2020-06-03,0.62,0.28,1.34
Jämtland,2020-06-03,0.5,0.14,1.42
Västerbotten,2020-06-03,0.45,0.17,1.04
Gotland,2020-06-03,0.6,0.08,2.54
Värmland,2020-06-03,0.34,0.12,0.86
Blekinge,2020-06-03,0.32,0.08,0.95
Skåne,2020-06-04,0.37,0.29,0.47
Dalarna,2020-06-04,0.52,0.23,1.13
Västra Götaland,2020-06-04,0.47,0.36,0.61
Kronoberg,2020-06-04,0.44,0.15,1.07
Västerbotten,2020-06-04,0.4,0.15,0.97
Stockholm,2020-06-04,0.63,0.52,0.76
Norrbotten,2020-06-04,0.43,0.14,1.13
Västmanland,2020-06-04,0.42,0.17,0.97
Jönköping,2020-06-04,0.53,0.26,0.99
Kalmar,2020-06-04,0.39,0.13,1.04
Halland,2020-06-04,0.36,0.17,0.75
Gävleborg,2020-06-04,0.51,0.21,1.1
Östergötland,2020-06-04,0.48,0.24,0.89
Uppsala,2020-06-04,0.52,0.29,0.89
Västernorrland,2020-06-04,0.45,0.18,1.03
Örebro,2020-06-04,0.56,0.24,1.17
Södermanland,2020-06-04,0.61,0.26,1.32
Jämtland,2020-06-04,0.49,0.14,1.41
Gotland,2020-06-04,0.56,0.07,2.57
Värmland,2020-06-04,0.44,0.17,1
Blekinge,2020-06-04,0.33,0.09,0.97
Skåne,2020-06-05,0.38,0.3,0.48
Dalarna,2020-06-05,0.5,0.21,1.1
Västra Götaland,2020-06-05,0.47,0.36,0.61
Kronoberg,2020-06-05,0.43,0.14,1.06
Västerbotten,2020-06-05,0.41,0.15,0.98
Stockholm,2020-06-05,0.63,0.52,0.76
Norrbotten,2020-06-05,0.43,0.14,1.14
Västmanland,2020-06-05,0.43,0.17,0.98
Jönköping,2020-06-05,0.54,0.27,1.01
Kalmar,2020-06-05,0.44,0.16,1.1
Gävleborg,2020-06-05,0.55,0.24,1.15
Halland,2020-06-05,0.4,0.19,0.8
Östergötland,2020-06-05,0.52,0.27,0.94
Uppsala,2020-06-05,0.55,0.31,0.93
Västernorrland,2020-06-05,0.47,0.18,1.07
Örebro,2020-06-05,0.61,0.27,1.25
Södermanland,2020-06-05,0.64,0.28,1.38
Jämtland,2020-06-05,0.48,0.13,1.39
Gotland,2020-06-05,0.52,0.05,2.55
Värmland,2020-06-05,0.48,0.2,1.03
Blekinge,2020-06-05,0.36,0.11,1.02
Skåne,2020-06-06,0.39,0.31,0.49
Dalarna,2020-06-06,0.47,0.2,1.05
Västra Götaland,2020-06-06,0.5,0.39,0.64
Kronoberg,2020-06-06,0.42,0.14,1.03
Västerbotten,2020-06-06,0.4,0.15,0.95
Stockholm,2020-06-06,0.64,0.53,0.77
Norrbotten,2020-06-06,0.4,0.12,1.06
Västmanland,2020-06-06,0.42,0.18,0.96
Jönköping,2020-06-06,0.59,0.32,1.05
Kalmar,2020-06-06,0.38,0.13,0.99
Gävleborg,2020-06-06,0.6,0.28,1.19
Halland,2020-06-06,0.45,0.22,0.86
